,road_1,road_2,road_3,road_4,road_5,road_6,road_7,road_8,road_9,road_10,road_11,road_12,road_13,road_14,road_15,road_16,road_17,road_18
2022-07-22 00:00:00,29,37,69,15,51,54,50,30,28,116,29,84,10,81,59,89,25,14
2022-07-22 00:01:00,26,35,67,12,54,44,36,24,36,44,29,86,17,82,47,64,33,27
2022-07-22 00:02:00,27,35,67,15,41,47,42,23,72,43,41,59,31,51,119,29,57,27
2022-07-22 00:03:00,25,33,65,11,34,39,40,33,44,99,70,95,86,125,50,23,79,14
2022-07-22 00:04:00,29,36,68,10,57,46,48,39,49,52,34,68,83,35,104,48,45,196
2022-07-22 00:05:00,27,35,67,17,41,45,44,25,28,31,75,81,34,39,109,52,28,58
2022-07-22 00:06:00,25,32,64,15,45,31,29,25,48,60,38,88,57,97,45,16,24,81
2022-07-22 00:07:00,25,33,65,11,43,42,34,25,22,91,99,54,48,28,127,25,24,142
2022-07-22 00:08:00,28,35,68,15,39,43,56,35,14,29,81,42,42,49,137,38,43,66
2022-07-22 00:09:00,30,38,71,12,56,54,48,36,24,62,48,32,72,84,82,50,28,46
2022-07-22 00:10:00,29,38,71,17,52,60,47,36,48,46,34,27,34,45,86,29,31,101
2022-07-22 00:11:00,29,37,69,11,51,50,52,27,76,74,83,110,112,87,22,95,68,57
2022-07-22 00:12:00,29,35,68,19,53,47,40,28,53,50,33,30,33,92,22,44,13,119
2022-07-22 00:13:00,29,35,68,20,47,47,44,29,39,64,93,79,76,39,24,31,23,55
2022-07-22 00:14:00,25,33,65,21,39,35,40,28,22,49,23,120,75,59,51,57,22,70
2022-07-22 00:15:00,26,35,67,19,44,45,36,29,62,58,65,34,95,31,112,55,23,156
2022-07-22 00:16:00,26,35,67,15,43,46,37,34,24,57,47,30,123,27,93,17,15,71
2022-07-22 00:17:00,25,33,65,10,48,33,40,26,63,52,103,76,56,33,57,25,7,127
2022-07-22 00:18:00,25,33,65,14,40,35,36,26,28,46,46,20,22,76,22,12,35,78
2022-07-22 00:19:00,25,33,64,14,36,38,42,25,34,77,43,24,15,18,26,24,66,88
2022-07-22 00:20:00,26,35,67,16,46,33,37,36,54,49,35,86,29,53,83,58,27,72
2022-07-22 00:21:00,25,33,65,17,37,42,42,34,32,84,37,63,29,54,44,41,30,99
2022-07-22 00:22:00,26,35,67,13,43,45,42,24,26,41,66,41,86,29,36,25,37,24
2022-07-22 00:23:00,25,32,64,10,42,37,30,30,55,109,37,19,68,16,56,29,31,27
2022-07-22 00:24:00,23,31,64,10,39,37,32,20,29,50,42,40,49,33,42,38,41,35
2022-07-22 00:25:00,25,31,64,12,39,32,30,28,43,48,87,96,57,42,29,51,32,143
2022-07-22 00:26:00,25,31,64,17,33,38,33,29,29,160,36,37,63,59,71,22,34,118
2022-07-22 00:27:00,22,31,63,11,31,22,29,28,85,115,30,56,37,35,64,34,57,65
2022-07-22 00:28:00,26,34,67,10,38,41,45,30,31,51,59,13,53,27,53,16,41,66
2022-07-22 00:29:00,27,35,67,24,49,43,40,32,17,112,50,25,62,41,35,10,71,43
2022-07-22 00:30:00,25,31,64,10,39,35,36,29,27,41,23,33,119,36,45,91,35,88
2022-07-22 00:31:00,23,31,63,6,34,35,32,20,16,18,31,34,84,39,27,63,60,43
2022-07-22 00:32:00,22,30,63,12,34,30,31,22,24,48,39,12,126,78,80,57,58,74
2022-07-22 00:33:00,22,30,63,10,35,27,24,26,42,40,31,52,79,52,26,28,29,22
2022-07-22 00:34:00,23,31,64,18,31,30,33,30,30,98,39,95,63,53,38,43,34,26
2022-07-22 00:35:00,23,31,64,24,40,36,24,21,20,81,39,60,70,40,66,40,91,28
2022-07-22 00:36:00,25,33,65,6,31,32,49,31,28,110,23,77,89,129,42,59,30,67
2022-07-22 00:37:00,22,31,63,16,40,39,26,17,112,83,45,53,60,158,62,55,49,55
