Sample Time,Avg_1,Avg_2,Avg_3,Avg_4,Avg_5,Avg_6,Avg_7,Avg_8
2/5/2017 0:00,319,517,355,443,422,480,282,297
2/5/2017 0:05,313,517,362,491,366,398,407,282
2/5/2017 0:10,349,548,359,499,372,455,414,417
2/5/2017 0:15,384,633,436,543,399,560,471,421
2/5/2017 0:20,340,543,383,547,413,519,397,378
2/5/2017 0:25,341,524,363,497,332,506,402,414
2/5/2017 0:30,297,511,308,446,356,436,280,345
2/5/2017 0:35,367,582,354,525,413,462,414,427
2/5/2017 0:40,291,455,314,452,362,481,314,437
2/5/2017 0:45,326,503,331,463,342,431,355,333
2/5/2017 0:50,285,472,319,420,377,539,403,326
2/5/2017 0:55,295,464,314,436,319,438,360,318
2/5/2017 1:00,296,441,298,417,308,406,350,349
2/5/2017 1:05,289,416,288,374,206,328,329,318
2/5/2017 1:10,261,412,303,397,388,325,320,362
2/5/2017 1:15,251,399,277,360,298,350,375,310
2/5/2017 1:20,269,415,290,387,330,393,300,282
2/5/2017 1:25,272,430,274,368,282,303,345,273
2/5/2017 1:30,280,425,294,437,382,362,425,356
2/5/2017 1:35,210,328,251,340,175,355,281,264
2/5/2017 1:40,234,439,272,395,234,358,282,335
2/5/2017 1:45,261,398,272,348,388,353,270,266
2/5/2017 1:50,262,466,297,417,254,327,320,241
2/5/2017 1:55,262,375,272,353,318,353,273,381
2/5/2017 2:00,191,317,216,312,173,249,275,178
2/5/2017 2:05,254,388,273,339,314,291,261,310
2/5/2017 2:10,249,401,268,367,259,299,241,281
2/5/2017 2:15,236,413,267,329,273,328,316,264
2/5/2017 2:20,257,423,263,367,383,286,354,269
2/5/2017 2:25,250,417,281,397,361,368,331,267
2/5/2017 2:30,231,385,275,336,326,321,320,310
2/5/2017 2:35,256,428,259,352,380,312,254,221
2/5/2017 2:40,226,394,246,357,260,278,349,275
2/5/2017 2:45,223,358,244,329,224,337,213,302
2/5/2017 2:50,216,386,239,298,225,321,272,246
2/5/2017 2:55,194,279,209,293,174,294,222,239
